Estacao 000571
Inicio 20200916000000
Fim 20200930235000
CH01 Dia do ino (de 10 minutos) de medicao [AAAAMMDD]
CH02 Horario do ino (de 10 minutos) de medicao [hhmmss]
CH03 C intervalo, com "0" indicando medicao sem erro
CH04 Pressao do ar [hPa]: media do intervalo
CH05 Temperatura do ar [C] : media do intervalo
CH06 Umidade relativa do ar [% rel]: media do intervalo
CH07 Anemometro superior (89m), velocidade do vento [m/s]: media do intervalo
CH08 Anemometro superior (89m), velocidade do vento [m/s]: maximo do intervalo
CH09 Anemometro superior (89m), velocidade do vento [m/s]:minimo do intervalo
CH10 Anemometro superior (89m), velocidade do vento [m/s]: desvio padrao do intervalo
CH11 Wind Vane superior (86m), direcao de vento []: media do intervalo
CH12 Wind Vane superior (86m), direcao de vento []: desvio padrao do intervalo
CH13 Anemometro 2 (60m), velocidade do vento [m/s]: media do intervalo
CH14 Anemometro 2 (60m), velocidade do vento [m/s]: maximo do intervalo
CH15 Anemometro 2 (60m), velocidade do vento [m/s]:minimo do intervalo
CH16 Anemometro 2 (60m), velocidade do vento [m/s]: desvio padrao do intervalo
CH17 Wind Vane 2 (30m), direcao de vento []: media do intervalo
CH18 Wind Vane 2 (30m), direcao de vento []: desvio padrao do intervalo
CH19 Anemometro 3 (87,5m), velocidade do vento [m/s]: media do intervalo
CH20 Anemometro 3 (87,5m), velocidade do vento [m/s]: maximo do intervalo
CH21 Anemometro 3 (87,5m), velocidade do vento [m/s]:minimo do intervalo
CH22 Anemometro 3 (87,5m), velocidade do vento [m/s]: desvio padrao do intervalo
CH23 Inexistente
CH24 Inexistente
CH01    |CH02   |CH03 |CH04 |CH05 |CH06 |CH07 |CH08 |CH09 |CH10 |CH11 |CH12 |CH13 |CH14 |CH15 |CH16 |CH17 |CH18 |CH19 |CH20 |CH21 |CH22 |CH23 |CH24 |
dados
20200916| 064000|    0| 1003| 15,1| 95,2| 1,98| 2,43| 1,32| 0,24|  215|    3| 1,50| 1,84| 1,10| 0,20|  148|    5| 1,98| 2,34| 1,56| 0,21|   - |   - |
20200916| 065000|    0| 1003| 15,1| 95,3| 2,04| 2,33| 1,23| 0,22|  210|    7| 2,00| 2,53| 1,15| 0,36|  148|    5| 2,09| 2,44| 1,33| 0,21|   - |   - |
20200916| 070000|    0| 1003| 15,2| 95,2| 1,82| 2,38| 1,32| 0,30|  191|   14| 2,28| 2,76| 1,42| 0,38|  135|    9| 1,91| 2,48| 1,42| 0,28|   - |   - |
20200916| 071000|    0| 1003| 15,2| 95,2| 1,36| 1,78| 0,86| 0,27|  228|   33| 1,27| 2,25| 0,78| 0,37|  138|   13| 1,40| 1,88| 0,87| 0,28|   - |   - |
20200916| 072000|    0| 1003| 15,2| 95,2| 1,82| 2,15| 1,50| 0,15|  224|   36| 1,58| 2,30| 0,69| 0,51|  138|   10| 1,87| 2,16| 1,52| 0,16|   - |   - |
20200916| 073000|    0| 1003| 15,1| 95,3| 1,41| 1,78| 0,90| 0,24|  293|   73| 1,11| 1,42| 0,64| 0,16|  123|    9| 1,42| 1,79| 0,92| 0,25|   - |   - |
20200916| 074000|    0| 1003| 15,2| 95,3| 1,23| 1,92| 0,77| 0,21|  314|   40| 1,07| 1,24| 0,92| 0,06|   80|   15| 1,18| 1,75| 0,78| 0,19|   - |   - |
20200916| 075000|    0| 1003| 15,3| 95,5| 2,89| 3,67| 1,55| 0,49|  346|    9| 1,61| 2,81| 1,06| 0,43|   31|   11| 2,85| 3,63| 1,61| 0,49|   - |   - |
20200916| 080000|    0| 1003| 15,3| 95,3| 3,37| 4,04| 2,66| 0,24|    9|    7| 2,91| 3,45| 2,39| 0,19|   38|    5| 3,34| 4,18| 2,62| 0,25|   - |   - |
20200916| 081000|    0| 1003| 15,4| 95,6| 3,15| 3,85| 2,10| 0,35|    9|    6| 2,65| 3,54| 2,11| 0,26|   40|    6| 3,11| 3,86| 2,07| 0,35|   - |   - |
20200916| 082000|    0| 1002| 15,6| 95,8| 3,74| 4,27| 2,93| 0,31|    8|    3| 2,66| 3,31| 2,07| 0,19|   38|    5| 3,69| 4,37| 2,85| 0,30|   - |   - |
20200916| 083000|    0| 1002| 15,9| 95,3| 4,74| 5,56| 4,04| 0,33|   20|    6| 3,44| 4,14| 2,67| 0,32|   42|    5| 4,68| 5,38| 3,95| 0,33|   - |   - |
